Algoritmo,Alineamiento.Tiempo,Alineamiento.Score,Alineamiento.Long,Num,Test_Name
ClustalW,0.16664981842041016,3.0,66,35,DataPrueba_2111
Simulated Annealing,3243.8127064704895,3.0,40,35,DataPrueba_2111
ClustalW,0.21838116645812988,3.0,66,35,DataPrueba_2111
Simulated Annealing,3432.096554994583,3.0,40,35,DataPrueba_2111
Simulated Annealing,3432.096554994583,3.0,40,35,DataPrueba_2111
ClustalW,0.2072315216064453,3.0,66,35,DataPrueba_2111
ClustalW,0.21919846534729004,3.0,66,35,DataPrueba_2111
ClustalW,0.21838116645812988,2.8,60,40,DataPrueba_2111
ClustalW,0.23735404014587402,2.8,60,40,DataPrueba_2111
ClustalW,0.23080706596374512,2.8,60,40,DataPrueba_2111
ClustalW,0.16289734840393066,2.8,60,40,DataPrueba_2111
ClustalW,0.20895004272460938,2.8,60,40,DataPrueba_2111
ClustalW,0.20701265335083008,2.8,60,40,DataPrueba_2111
ClustalW,0.21383166313171387,2.8,60,40,DataPrueba_2111
ClustalW,0.22560882568359375,2.8,60,40,DataPrueba_2111
ClustalW,0.16891074180603027,2.8,60,40,DataPrueba_2111
Simulated Annealing,3586.261717557907,3.0,40,40,DataPrueba_2111
ClustalW,0.2932395935058594,2.8,60,40,DataPrueba_2111
Simulated Annealing,3943.501984834671,3.0,40,40,DataPrueba_2111
Simulated Annealing,4418.198541641235,3.0,40,40,DataPrueba_2111
ClustalW,0.23238348960876465,2.8,60,40,DataPrueba_2111
ClustalW,0.1626441478729248,2.8,60,40,DataPrueba_2111
ClustalW,0.19113898277282715,2.8,60,40,DataPrueba_2111
ClustalW,0.22664117813110352,2.8,60,40,DataPrueba_2111
ClustalW,0.22844839096069336,2.8,60,40,DataPrueba_2111
ClustalW,0.21268653869628906,2.8,60,40,DataPrueba_2111
Simulated Annealing,3751.7084851264954,3.0,40,40,DataPrueba_2111
ClustalW,0.19589734077453613,2.8,60,40,DataPrueba_2111
Simulated Annealing,3528.53781914711,3.0,40,40,DataPrueba_2111
Simulated Annealing,3538.073630094528,3.0,40,40,DataPrueba_2111
ClustalW,0.1740257740020752,2.8,60,40,DataPrueba_2111
ClustalW,0.21945762634277344,2.8,60,40,DataPrueba_2111
Simulated Annealing,3620.3670287132263,3.0,40,40,DataPrueba_2111
Simulated Annealing,3620.3670287132263,3.0,40,40,DataPrueba_2111
Simulated Annealing,3620.3670287132263,3.0,40,40,DataPrueba_2111
ClustalW,0.19280004501342773,2.8,60,40,DataPrueba_2111
Simulated Annealing,3944.654709815979,3.0,40,40,DataPrueba_2111
Simulated Annealing,4415.081178426743,3.0,40,45,DataPrueba_2111
ClustalW,0.19569087028503418,2.8,60,45,DataPrueba_2111
Simulated Annealing,4708.490514993668,3.0,40,45,DataPrueba_2111
ClustalW,0.33371496200561523,2.8,60,45,DataPrueba_2111
ClustalW,0.21368980407714844,2.8,60,45,DataPrueba_2111
Simulated Annealing,4377.847010135651,3.0,40,45,DataPrueba_2111
ClustalW,0.23311281204223633,2.8,60,45,DataPrueba_2111
ClustalW,0.2009899616241455,2.8,60,45,DataPrueba_2111
ClustalW,0.22140240669250488,2.8,60,45,DataPrueba_2111
ClustalW,0.24652814865112305,2.8,60,45,DataPrueba_2111
ClustalW,0.20287346839904785,2.8,60,45,DataPrueba_2111
ClustalW,0.23923349380493164,2.8,60,45,DataPrueba_2111
ClustalW,0.2560420036315918,2.8,60,45,DataPrueba_2111
ClustalW,0.2159724235534668,2.8,60,45,DataPrueba_2111
Simulated Annealing,3354.7986068725586,3.0,40,45,DataPrueba_2111
ClustalW,0.18500494956970215,2.8,60,45,DataPrueba_2111
ClustalW,0.25420045852661133,2.8,60,45,DataPrueba_2111
ClustalW,0.2576010227203369,2.8,60,45,DataPrueba_2111
ClustalW,0.28040289878845215,2.8,60,45,DataPrueba_2111
ClustalW,0.27416110038757324,2.8,60,45,DataPrueba_2111
Simulated Annealing,4049.6006729602814,3.0,40,45,DataPrueba_2111
Simulated Annealing,4049.6006729602814,3.0,40,45,DataPrueba_2111
ClustalW,0.26896214485168457,2.8,60,45,DataPrueba_2111
ClustalW,0.31225156784057617,2.8,60,45,DataPrueba_2111
Simulated Annealing,3873.29518198967,3.0,40,45,DataPrueba_2111
Simulated Annealing,4654.413022518158,3.0,40,45,DataPrueba_2111
Simulated Annealing,4654.413022518158,3.0,40,45,DataPrueba_2111
Simulated Annealing,4230.818341732025,3.0,40,45,DataPrueba_2111
ClustalW,0.1536884307861328,2.1818181818181817,44,5,DataPrueba_2111
ClustalW,0.16173291206359863,2.1818181818181817,44,5,DataPrueba_2111
ClustalW,0.19164347648620605,2.1818181818181817,44,5,DataPrueba_2111
Simulated Annealing,616.2793476581573,2.625,40,5,DataPrueba_2111
ClustalW,0.15537500381469727,2.1818181818181817,44,5,DataPrueba_2111
ClustalW,0.12855267524719238,2.1818181818181817,44,5,DataPrueba_2111
Simulated Annealing,617.6412987709045,2.55,40,5,DataPrueba_2111
ClustalW,0.11343193054199219,2.1818181818181817,44,5,DataPrueba_2111
Simulated Annealing,616.568587064743,2.375,40,5,DataPrueba_2111
Simulated Annealing,618.0519163608551,2.5,40,5,DataPrueba_2111
ClustalW,0.15399169921875,2.1818181818181817,44,5,DataPrueba_2111
Simulated Annealing,619.4560010433197,2.675,40,5,DataPrueba_2111
